method,noise_level,psnr_mean,psnr_std,ssim_mean,ssim_std,avg_time_sec
FISTA-Wavelet,0.005,31.17163150066401,3.8546212193221905,0.8605944,0.06809171082460186,1.5724
FISTA-Wavelet,0.01,30.995535574282954,3.870363631190562,0.854708,0.07107636491249489,1.5724
FISTA-Wavelet,0.05,28.964716076021375,3.3487784129430507,0.7789846,0.08212710655675927,1.5724
FISTA-Wavelet,0.1,27.090222848885116,2.972073971247706,0.6993693,0.09196219091682042,1.5724
PD-Net,0.005,33.4254940588933,3.5148814144524074,0.90394175,0.050057521859820445,0.0376
PD-Net,0.01,33.83947838096183,3.6412643350514258,0.909624,0.05296650823313544,0.0376
PD-Net,0.05,31.77105139693925,3.4325970623630306,0.862392,0.0733277924074102,0.0376
PD-Net,0.1,30.135905756421266,3.2710887629038203,0.8219275,0.08775291932387168,0.0376
UNet,0.005,33.39326562122059,3.5113734960548206,0.90285814,0.04868113621012337,0.0373
UNet,0.01,34.03128828863825,3.7298310235152443,0.91267186,0.052244055364008085,0.0373
UNet,0.05,32.082198786622826,3.442255040927104,0.8717276,0.06902104570222004,0.0373
UNet,0.1,30.491708140662304,3.2551495621657236,0.8354815,0.0797412214788324,0.0373
